name,phone,city,state,zip,oem_source,license_number,license_expiration_date,icp_score,tier,resimercial_score,om_score,mepr_score,multi_oem_score
CHAMPION AC LLC,(210) 888-9506,university oak san antonio,TX,78249.0,Generac,34080,2026-01-23,26,BRONZE,40,0,25,25
Bradford Brothers - Houston,281 449-7226,Houston,TEXAS,77093.0,Cummins,18679,2026-08-20,26,BRONZE,40,0,25,25
"Precision & Integrity Electric Construction, Inc - Apple Springs",936 635-4992,Apple Springs,TEXAS,75926.0,Cummins,34286,2026-03-15,26,BRONZE,40,0,25,25
NRG Clean Power Inc.,(800) 698-6627,,CA,,Tesla,34328,2026-03-26,26,BRONZE,40,0,25,25
5G ELECTRIC LLC,(210) 609-5909,san antonio,TX,78207.0,Generac,34569,2026-06-15,26,BRONZE,40,0,25,25
Daystar Electric - Flint,903 534-5850,Flint,TEXAS,75762.0,Cummins,18568,2026-08-18,26,BRONZE,40,0,25,25
TEXAS ENGINEERED SOLAR LLC,2105161604,SAN ANTONIO,TX,78233.0,Briggs & Stratton,34731,2026-09-06,26,BRONZE,40,0,25,25
AirCraft Inc,5128361690,Round Rock,TX,78664.0,Mitsubishi,34825,2026-10-23,26,BRONZE,40,0,25,25
GENERATOR SUPERCENTER OF AUSTIN,(512) 765-4101,e cedar park,TX,78613.0,Generac,34892,2026-12-02,26,BRONZE,40,0,25,25
DYNAMIC SLR INC,(972) 521-6014,son,TX,75082.0,Generac,34989,2026-01-28,26,BRONZE,40,0,25,25
BEAR ELECTRIC LLC,(512) 698-2404,leander,TX,78641.0,Generac,34992,2026-03-08,26,BRONZE,40,0,25,25
SATX ELECTRIC LLC,(210) 201-3088,san antonio,TX,78253.0,Generac,35006,2026-02-14,26,BRONZE,40,0,25,25
Kaye Electric - Newton,316 283-0474,Newton,KANSAS,67114.0,Cummins,35222,2026-02-02,26,BRONZE,40,0,25,25
1 Kva Electric Co. Llc - Willis,936 648-5901,Willis,TEXAS,77318.0,Cummins,35251,2026-05-05,26,BRONZE,40,0,25,25
P & L  Generators - Nacogdoches,936 554-5012,Nacogdoches,TEXAS,75965.0,Cummins,34013,2026-02-05,26,BRONZE,40,0,25,25
SIVLEY AND SON'S ELECTRIC,(832) 816-3061,katy,TX,77450.0,Generac,33971,2026-08-21,26,BRONZE,40,0,25,25
ARS OF HOUSTON,(713) 777-7777,on,TX,77041.0,Generac,19006,2026-08-27,26,BRONZE,40,0,25,25
YUKER ELECTRIC LLC,(210) 278-2572,silverwings spring branch,TX,78070.0,Generac,33834,2026-08-23,26,BRONZE,40,0,25,25
Elevation Solar,4804924232,San Jose,CA,95113.0,SMA Solar,31577,2026-02-23,26,BRONZE,40,0,25,25
VOLTEX ELECTRIC AND GENERATOR LLC,(713) 355-7816,on,TX,77075.0,Generac,31679,2026-04-18,26,BRONZE,40,0,25,25
CASANOVA ELECTRIC CORP,(210) 318-6169,powell san antonio,TX,78204.0,Generac,31805,2026-05-19,26,BRONZE,40,0,25,25
Beacon Generators Llc - Granbury,817 559-0142,Granbury,TEXAS,76049.0,Cummins,32187,2026-11-14,26,BRONZE,40,0,25,25
"TriSMART Solar (Houston, TX)",888-485-5551,,TX,,Enphase,32259,2026-12-12,26,BRONZE,40,0,25,25
HARWAY ELECTRIC,(817) 308-2002,burleson,TX,76028.0,Generac,32515,2026-03-29,26,BRONZE,40,0,25,25
Circle L Solar,(817) 945-2011,,TX,,Tesla,32697,2026-06-01,26,BRONZE,40,0,25,25
"Brotherlylove Electric, LLC",3467773370,Pinehurst,TX,77362.0,Briggs & Stratton,32701,2026-05-11,26,BRONZE,40,0,25,25
POWER SOURCE ELECTRIC,(210) 924-3434,san antonio,TX,78220.0,Generac,18742,2025-12-10,26,BRONZE,40,0,25,25
GENERATORS OF HOUSTON,(713) 812-7285,on,TX,77070.0,Generac,32828,2026-07-21,26,BRONZE,40,0,25,25
EPIC INDUSTRIES,(682) 478-6088,north richland hills,TX,76182.0,Generac,33192,2026-06-18,26,BRONZE,40,0,25,25
TEXAS ELITE GENERATORS,(832) 309-2398,hutto,TX,78634.0,Generac,33404,2026-02-28,26,BRONZE,40,0,25,25
RISE POWER LLC,(855) 747-3769,son,TX,75081.0,Generac,33493,2026-04-04,26,BRONZE,40,0,25,25
GENERATOR AUTHORITY,(817) 984-3600,azle,TX,76020.0,Generac,33662,2026-06-05,26,BRONZE,40,0,25,25
BLUE DIAMOND M.E.P.,(512) 371-1888,hutto,TX,78634.0,Generac,33694,2026-06-24,26,BRONZE,40,0,25,25
Southern Air of Shreveport,3187981801,Shreveport,LA,71106.0,Mitsubishi,40715,2026-09-23,26,BRONZE,40,0,25,25
