name,phone,domain,website,city,state,zip,oem_source,scraped_from_zip,license_number,license_type,license_status,license_state,license_tier,license_expiration_date
MEND SERVICES,(512) 206-3188,mendservices.com,https://www.mendservices.com/,in,TX,78747.0,Generac,78701,35517,Electrical,Active,TX,BULK,2026-10-19
GREEN LIGHT ELECTRIC,(210) 307-9847,,,revi,ew,11115.0,Generac,78201,35520,Electrical,Active,TX,BULK,2025-11-01
ICON POWER SOLUTIONS LLC,(832) 217-9126,iconpowersolutionsllc.com,https://www.iconpowersolutionsllc.com/,katy,TX,77449.0,Generac,77002,35536,Electrical,Active,TX,BULK,2026-10-26
Trizone Electric - Houston,713 870-4111,trizoneelectric.com,https://trizoneelectric.com/,Houston,TEXAS,77042.0,Cummins,36601,35571,Electrical,Active,TX,BULK,2026-11-09
ROBERT MONROE INTERESTS LLC.,(281) 880-8805,,,on,TX,77086.0,Generac,77002,35682,Electrical,Active,TX,BULK,2025-01-20
Texas Solar Professional LLC,(469) 581-0008,texassolar.pro,https://texassolar.pro,,TX,nan,Tesla,76092,35727,Electrical,Active,TX,BULK,2026-02-09
"BIG STAR ELECTRICAL, LLC",(832) 650-0601,bigstarenergy.com,https://www.bigstarenergy.com/,friendswood,TX,77546.0,Generac,77002,35919,Electrical,Active,TX,BULK,2026-04-11
STARLIGHT SOLAR,(713) 929-9454,starlightsolartexas.com,https://www.starlightsolartexas.com/,on,TX,77045.0,Generac,77002,35983,Electrical,Active,TX,BULK,2026-04-27
PREMIER POWER AND LIGHTING LLC,(214) 908-1129,,,paige bend hutto,TX,78634.0,Generac,78701,36048,Electrical,Active,TX,BULK,2026-08-16
"WESTCO ELECTRICAL SERVICES, LLC",(512) 949-0173,,,georgetown,TX,78628.0,Generac,78746,36148,Electrical,Active,TX,BULK,2026-06-22
LUX ELECTRIC LLC,(214) 908-1605,,,fort worth,TX,76107.0,Generac,76102,36154,Electrical,Active,TX,BULK,2026-06-23
TEX-PRO ELECTRICAL LLC,(281) 854-8714,,,missouri city,TX,77489.0,Generac,77002,36155,Electrical,Active,TX,BULK,2026-06-23
Strategic Electrical Solutions LLC,2282651355,trategicelectricalsolutions.com,http://trategicelectricalsolutions.com/,ANGLETON,TX,77515.0,Briggs & Stratton,77001,36240,Electrical,Active,TX,BULK,2026-07-29
"MULTIMEDIA SOLUTIONS, INC.",(972) 488-1084,multimediasolutionsgroup.com,https://multimediasolutionsgroup.com/,farmers branch,TX,75234.0,Generac,75201,36246,Electrical,Active,TX,BULK,2026-08-02
LT ELECTRIC,(512) 923-9354,,,pinseeker selma,TX,78154.0,Generac,78201,36262,Electrical,Active,TX,BULK,2026-04-30
SHEARER ELECTRIC COMPANY,(972) 288-9778,,,mesquite,TX,75149.0,Generac,75201,36351,Electrical,Active,TX,BULK,2026-08-30
SOLARUGREEN CORPORATION,(682) 718-4741,,,,TX,76053.0,Generac,75201,36710,Electrical,Active,TX,BULK,2026-11-06
"TEXADIA HOME TECHNOLOGIES, LLC",(214) 956-5820,texadiasystems.com,https://www.texadiasystems.com/,addison,TX,75001.0,Generac,75201,36724,Electrical,Active,TX,BULK,2026-01-06
NORTH TEXAS GENERATORS LLC,(817) 900-2714,northtxgen.com,https://northtxgen.com/,haslet,TX,76052.0,Generac,76102,36828,Electrical,Active,TX,BULK,2026-02-16
PARTICLE PRO ELECTRIC LLC,(346) 443-1681,particleproelectric.com,https://www.particleproelectric.com/,spring,TX,77373.0,Generac,77002,36847,Electrical,Active,TX,BULK,2026-02-26
Mico Environmental Solutions L.L.C. - Houston,281 502-0062,,,Houston,TEXAS,77339.0,Cummins,36601,36852,Electrical,Active,TX,BULK,2026-02-28
LIMITLESS ELECTRIC LLC,(936) 200-7165,limitlesselectric.online,https://limitlesselectric.online/,humble,TX,77346.0,Generac,77002,36854,Electrical,Active,TX,BULK,2026-03-01
"ES Solar, LLC",(801) 614-0606,essolar.com,https://essolar.com/,,CA,nan,Tesla,94027,36943,Electrical,Active,TX,BULK,2026-03-25
ALTERNATIVE HOME ENERGY/MAINT LLC,(214) 838-7157,althomeenergy.com,https://www.althomeenergy.com/,son,TX,75081.0,Generac,75201,36989,Electrical,Active,TX,BULK,2025-04-13
JTX ELECTRICAL LLC,(512) 663-7134,,,leander,TX,78641.0,Generac,78701,37015,Electrical,Active,TX,BULK,2026-04-20
4b Electric Inc - Weatherford,682 327-6623,4belectric.com,https://www.4belectric.com/,Weatherford,TEXAS,76088.0,Cummins,2101,37044,Electrical,Active,TX,BULK,2026-05-02
PREMIER GENERATORS OF TEXAS LLC,(214) 945-2525,premiergeneratorstx.com,https://premiergeneratorstx.com/,ano,TX,75074.0,Generac,75201,37068,Electrical,Active,TX,BULK,2026-05-13
GENERATOR SUPER CENTER-SAN ANTONIO,(210) 985-0150,generatorsupercenter.com,https://generatorsupercenter.com/locations/sanantonio-texas/,san antonio,TX,78217.0,Generac,78201,37130,Electrical,Active,TX,BULK,2026-05-20
"Cdl Electric Co., Llc - Pittsburg",620 231-6420,cdlelectric.com,https://cdlelectric.com/,Pittsburg,KANSAS,66762.0,Cummins,2101,37170,Electrical,Active,TX,BULK,2026-06-01
DYKES ELECTRIC,(512) 993-6584,dykeselectricco.com,https://dykeselectricco.com/,leander,TX,78641.0,Generac,78701,37189,Electrical,Active,TX,BULK,2026-06-09
"Tri-State Water, Power and  Air",5733391800,tristatewhywait.com,http://www.tristatewhywait.com/,BOSSIER CITY,LA,71111.0,Briggs & Stratton,71101,37250,Electrical,Active,TX,BULK,2026-06-29
Viper Electric Llc - Spring,832 246-2882,,,Spring,TEXAS,77389.0,Cummins,36601,37274,Electrical,Active,TX,BULK,2026-08-01
AL'S A.S.A.P. ELECTRIC COMPANY LLC,(936) 933-7144,alsasapelectric.com,https://alsasapelectric.com/,porter,TX,77365.0,Generac,77002,37392,Electrical,Active,TX,BULK,2026-09-04
HOLESHOT ELECTRIC LLC,(512) 548-6635,holeshotelec.com,https://www.holeshotelec.com/,liberty hill,TX,78642.0,Generac,78730,37447,Electrical,Active,TX,BULK,2026-10-24
SOLARTIME USA LLC,9726757725,solartimeusa.com,http://www.solartimeusa.com/,RICHARDSON,TX,75081.0,Briggs & Stratton,75201,37586,Electrical,Active,TX,BULK,2026-10-19
"PATRIOT SERVICES ELECTRIC, LLC",(713) 900-9140,,,katy,TX,77494.0,Generac,77024,37798,Electrical,Active,TX,BULK,2026-02-03
Gemstone Electric Llc - Kerrville,830 890-1879,gemstone-electric.com,https://gemstone-electric.com/,Kerrville,TEXAS,78028.0,Cummins,2101,37887,Electrical,Active,TX,BULK,2026-03-22
ESQUIVEL ELECTRICAL & LIGHTING LLC,(210) 708-3954,esquivelelectric.com,https://www.esquivelelectric.com/,espada bnd san antonio,TX,78222.0,Generac,78201,37930,Electrical,Active,TX,BULK,2026-04-02
"POWER SOLUTIONS SPECIALIST, LLC",(832) 448-0478,psstx.com,https://www.psstx.com/,tomball,TX,77375.0,Generac,77024,37931,Electrical,Active,TX,BULK,2026-03-31
POWERMEANS ELECT CONTRACTING INC,(737) 263-5823,powermeanstx.com,https://www.powermeanstx.com/,ipping springs,TX,78620.0,Generac,78701,37937,Electrical,Active,TX,BULK,2026-04-05
Msh Enterprises Llc - Kingsland,325 248-3215,mshpower.com,https://www.mshpower.com/,Kingsland,TEXAS,78639.0,Cummins,2101,38016,Electrical,Active,TX,BULK,2026-04-26
Eagle Solar Power,8179179965,,,MANSFIELD,TX,76063.0,Briggs & Stratton,75201,38038,Electrical,Active,TX,BULK,2026-04-27
TRUSERV ENERGY SOLUTIONS,(214) 945-0790,truservenergy.com,https://www.truservenergy.com/,plano,TX,75093.0,Generac,75201,38111,Electrical,Active,TX,BULK,2026-05-25
"A Star Heat & Air, Inc.",9724850813,,,Dallas,TX,75041.0,Mitsubishi,75201,38309,Electrical,Active,TX,BULK,2026-07-24
Treehouse,(323) 577-6795,pages.treehouse.pro,https://pages.treehouse.pro/tesla,,IL,nan,Tesla,60093,38321,Electrical,Active,TX,BULK,2026-07-25
"BRIGHT BULBS ELECTRIC CO, INC.",(909) 912-5000,brightbulbselectric.com,https://www.brightbulbselectric.com/,and,CA,91768.0,Generac,91101,38324,Electrical,Active,TX,BULK,2026-07-26
SPARK ELECTRICAL SERVICES LLC,(512) 497-2680,sparkelectricalservices.com,https://sparkelectricalservices.com/,del valle,TX,78617.0,Generac,78701,38400,Electrical,Active,TX,BULK,2026-08-18
GENERATOR SUPERCENTER WEATHERFORD,(817) 661-1500,generatorsupercenterofweatherford.com,https://www.generatorsupercenterofweatherford.com/,,TX,76087.0,Generac,76102,38511,Electrical,Active,TX,BULK,2026-09-26
"Orthodox Electric, Llc - Navasota",936 500-0739,orthodoxelectric.com,https://orthodoxelectric.com/,Navasota,TEXAS,77868.0,Cummins,2101,38638,Electrical,Active,TX,BULK,2026-10-27
"CURRENT POWER TECH- HOUSTON, LLC",(210) 934-1314,currentpowertechnologies.com,https://currentpowertechnologies.com/,on,TX,77055.0,Generac,77002,38660,Electrical,Active,TX,BULK,2026-11-06
CALLAHAN ELECTRIC LLC,(903) 440-2302,callahanelectric.us,https://callahanelectric.us/,elgin,TX,78621.0,Generac,78701,38695,Electrical,Active,TX,BULK,2025-11-27
"JAMES BLEND SERVICES, LLC",(512) 769-5005,jamesblendservices.com,https://www.jamesblendservices.com/,loch linnhe loop pflugerville,TX,78660.0,Generac,78701,38698,Electrical,Active,TX,BULK,2025-12-06
TRUE TX ELECTRIC LLC,(361) 548-4997,truetxelectric.com,https://truetxelectric.com/,helotes,TX,78023.0,Generac,78201,38750,Electrical,Active,TX,BULK,2026-01-03
"West Texas Mechanical & Electrical, Llc - Odessa",432 614-1224,,,Odessa,TEXAS,79764.0,Cummins,2101,39080,Electrical,Active,TX,BULK,2026-04-19
Frischhertz Electric Co. - New Orleans,504 482-1146,,,New Orleans,LOUISIANA,70119.0,Cummins,33101,39099,Electrical,Active,TX,BULK,2026-04-26
VENARI ELECTRIC LLC,(713) 594-1967,venarielectric.com,https://venarielectric.com/,la porte,TX,77571.0,Generac,77002,39226,Electrical,Active,TX,BULK,2026-05-30
NOMIC POWER SOLUTIONS,(512) 387-4232,nomicpower.com,https://www.nomicpower.com/,in,TX,78753.0,Generac,78701,39308,Electrical,Active,TX,BULK,2026-07-16
"VILLAGE PLUMBING, AIR AND ELECTRIC",(713) 526-1491,villageplumbing.com,https://www.villageplumbing.com/,on,TX,77041.0,Generac,77002,39310,Electrical,Active,TX,BULK,2026-07-18
"CSG COMPANIES, LLC",(214) 631-4820,wadeelect.com,https://www.wadeelect.com/,seagoville,TX,75159.0,Generac,75201,39363,Electrical,Active,TX,BULK,2026-08-19
"Pip Team, Inc. Dba Partners In Power - Lubbock",480 568-9581,,,Wolfforth,TEXAS,79382.0,Cummins,2101,39537,Electrical,Active,TX,BULK,2026-09-26
"TRIBECA PLUMBING, INC.",(214) 402-5454,tribecaplumbinginc.com,https://www.tribecaplumbinginc.com/,dallas,TX,75225.0,Generac,75201,39539,Electrical,Active,TX,BULK,2026-09-27
HONEST PLUMBING AND AIR,(512) 238-2058,honestairconditioning.biz,https://honestairconditioning.biz/,hutto,TX,78634.0,Generac,78701,39562,Electrical,Active,TX,BULK,2026-10-02
"Reinhold Electric, Inc. - St. Louis",314 631-1158,reinholdelectric.com,https://www.reinholdelectric.com/st-louis,St. Louis,MISSOURI,63125.0,Cummins,30301,39569,Electrical,Active,TX,BULK,2026-10-03
Mason Electric - Lovelady,936 348-8792,,,Lovelady,TEXAS,75851.0,Cummins,2101,39594,Electrical,Active,TX,BULK,2026-10-15
WILLIAMS ELECTRIC & HVAC,(817) 523-5353,williamselectrichvac.com,https://williamselectrichvac.com/,springtown,TX,76082.0,Generac,76107,39595,Electrical,Active,TX,BULK,2026-10-15
Hg Electric - Livingston,936 933-8116,,,Livingston,TEXAS,77351.0,Cummins,38101,39609,Electrical,Active,TX,BULK,2026-10-21
RESILIENT POWER,(214) 387-7878,friscoelectric.com,https://friscoelectric.com/,frisco,TX,75034.0,Generac,75205,39611,Electrical,Active,TX,BULK,2026-10-22
STORM GUARDIAN GENERATORS,(281) 648-2177,stormgg.com,https://www.stormgg.com/,in,TX,78734.0,Generac,78701,39696,Electrical,Active,TX,BULK,2026-11-18
MIDWAY ELECTRICAL GROUP LLC,(214) 681-4761,midwayelectricalgroup.com,https://midwayelectricalgroup.com/,dallas,TX,75248.0,Generac,75201,39741,Electrical,Active,TX,BULK,2025-12-03
Trustwave Electric Llc - Rosharon,281 576-1231,trustwaveelectric.com,https://www.trustwaveelectric.com/,Rosharon,TEXAS,77583.0,Cummins,36601,39862,Electrical,Active,TX,BULK,2026-01-23
ALTERNATIVE HOME ENERGY/MAINT LLC,(214) 838-7157,althomeenergy.com,https://www.althomeenergy.com/,son,TX,75081.0,Generac,75201,39988,Electrical,Active,TX,BULK,2026-02-20
210 ELECTRICAL LLC,(210) 677-9818,,,san antonio,TX,78233.0,Generac,78201,40001,Electrical,Active,TX,BULK,2026-02-24
AIRE SERV OF FORT WORTH,(817) 367-2473,aireserv.com,https://aireserv.com/ftworth,e b lake worth,TX,76135.0,Generac,76102,40036,Electrical,Active,TX,BULK,2026-03-04
Bell Mountain Solar,8013722488,,,Pleasant Grove ,UT,84062.0,SMA Solar,19901,40047,Electrical,Active,TX,BULK,2026-03-10
TOP TIER ELECTRICAL SERVICES LLC,(936) 900-7031,toptierelectricaltx.com,https://www.toptierelectricaltx.com/,humble,TX,77346.0,Generac,77002,40166,Electrical,Active,TX,BULK,2026-04-11
LAVALLEY HOME SERVICES LLC,(325) 248-9091,lavalleyservices.com,https://lavalleyservices.com/,kingwood,TX,77339.0,Generac,77002,40227,Electrical,Active,TX,BULK,2026-04-29
NIVO SOLAR LLC,(346) 425-0650,mynivohome.com,https://www.mynivohome.com/,on,TX,77043.0,Generac,77002,40396,Electrical,Active,TX,BULK,2026-06-19
EPX GROUP LLC,(737) 240-3344,,,georgetown,TX,78633.0,Generac,78730,40401,Electrical,Active,TX,BULK,2026-06-20
TEXAS ELITE GENERATORS,(832) 309-2398,texaselitegenerators.com,https://www.texaselitegenerators.com/,hutto,TX,78634.0,Generac,78701,40412,Electrical,Active,TX,BULK,2026-06-25
"JH ELECTRIC, LLC",(469) 734-4744,jhelectricdallas.com,https://jhelectricdallas.com/,frisco,TX,75035.0,Generac,75205,40606,Electrical,Active,TX,BULK,2026-08-19
Astrogen - Humble,832 429-8022,astrogenerators.com,https://www.astrogenerators.com/,Humble,TEXAS,77338.0,Cummins,36601,40607,Electrical,Active,TX,BULK,2026-08-19
Brubaker Builders Llc - Rockledge,321 608-4850,,,Rockledge,FLORIDA,32955.0,Cummins,33101,40688,Electrical,Active,TX,BULK,2026-09-12
Southern Air of Shreveport,3187981801,,,Shreveport,LA,71106.0,Mitsubishi,71101,40715,Electrical,Active,TX,BULK,2026-09-23
American Services - Hockley,281 355-9100,buyamericanservices.com,https://www.buyamericanservices.com/,Hockley,TEXAS,77447.0,Cummins,2101,40767,Electrical,Active,TX,BULK,2026-10-09
"SMITH ELECTRIC & SIGNS, LLC",(214) 328-8797,smithelectricsigns.com,https://smithelectricsigns.com/,garland,TX,75043.0,Generac,75201,18686,Electrical,Active,TX,BULK,2026-04-30
TMCO/TEMPERATURE MAINTENANCE CO INC,(713) 294-2151,,,on,TX,77026.0,Generac,77002,19252,Electrical,Active,TX,BULK,2026-06-12
