Contractor Name,Phone,Domain,ICP Fit Score,ICP Tier,Resimercial Score,O&M Score,Multi-OEM Score,MEP+R Score,OEM Count,OEM Sources,oem_count_verified,is_multi_oem,LicenseNo,BusinessName,MailingAddress,City_license,County,ZIPCode,BusinessPhone,Classifications(s),PrimaryStatus,ExpirationDate,phone_normalized
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1111760.0,W DRAGON PLUMBING & DEVELOPMENT,3317 SAN JOSE AVE,DALY CITY,San Mateo,94014,,A| B| C36,CLEAR,10/31/2027,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1111850.0,NORDIC WEST COMPANY INC,101 W AMERICAN CANYON RD508 - 354,AMERICAN CANYON,Napa,94503,,A| B| C21,CLEAR,10/31/2027,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1116833.0,SHERLOCK PLUMBING HEATING AND COOLING,P O BOX 429,ALPINE,San Diego,91903,,C20| C36,CLEAR,02/28/2026,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1117901.0,MARS ENERGY EPC,555 MENLO STREET STE A,ROCKLIN,Placer,95765,,B| C10,CLEAR,03/31/2026,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1118870.0,PATRONA ELECTRIC,PMB 382808548 MARKET ST,SAN FRANCISCO,San Francisco,94104,,C10,CLEAR,04/30/2026,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1119216.0,AV EXPERTS,7907 LAURELRIDGE CT,FAIR OAKS,Sacramento,95628,,B| C-7,Contr Bond Susp,04/30/2026,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1119833.0,ARCTIC HVAC & CONSTRUCTION,9880 WATERMAN RD STE 110,ELK GROVE,Sacramento,95624,,B| C20,CLEAR,04/30/2026,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1119938.0,PUROCLEAN OF WALNUT CREEK REMEDIATION,39 STONE CREEK PLACE,ALAMO,Contra Costa,94507,,ASB| D64,CLEAR,04/30/2026,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1120040.0,ALL ABOUT CONSTRUCTION AND ELECTRICAL LLC,8325 CRATER HILL RD,NEWCASTLE,Placer,95658,,B| C10,CLEAR,04/30/2026,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1120240.0,VISION BUILD CONSTRUCTION LLC,1016 ESCALERO AVE,PACIFICA,San Mateo,94044,,A| B| C-8,CLEAR,05/31/2026,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1122754.0,TCM CAPITAL INC,1077 N WILLOW AVE STE 105-1000,CLOVIS,Fresno,93611,,B| C47,CLEAR,06/30/2026,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1123891.0,IRA CONSTRUCTION,1850 MAYETTE AVENUE,CONCORD,Contra Costa,94520,,B| C-8,CLEAR,07/31/2026,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1124525.0,COMPASS CUSTOM FLOORS INC,4539 E 6TH LOS ANGELES,LOS ANGELES,Los Angeles,90022,,C15,Work Comp Susp,08/31/2026,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1125438.0,R C I APEX JV,PO BOX 2531,OROVILLE,Butte,95965,,A| HAZ,CLEAR,08/31/2026,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1126442.0,OLSEN AV,631 BLANTON ROAD,GADSEN,,35904,,C10,CLEAR,09/30/2026,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1127200.0,AQUILA ENERGY LLC,2349 LA MIRADA DR,VISTA,San Diego,92081,,B| C10,CLEAR,10/31/2026,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1128073.0,AARON MOUTON CONSTRUCTION,7536 OUTLOOK AVE,OAKLAND,Alameda,94605,,ASB| B| HAZ,CLEAR,10/31/2026,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1129470.0,NORTH BAY DESIGN AND BUILD INC,2163 ALDENGATE WAY #94,HAYWARD,Alameda,94545,,A| B| C10| C20,CLEAR,11/30/2026,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1130636.0,HOME SOLUTIONS HVAC,7281 CURINTH CT,ROHNERT PARK,Sonoma,94928,,C20,CLEAR,04/30/2027,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1131774.0,AIR MAXX HVAC LLC,2138 MELVILLE DR,SAN MARINO,Los Angeles,91108,,C20,CLEAR,01/31/2027,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1132144.0,ART MAJOR ROOFING & CONSTRUCTION INC,459 DARIEN AVE,OAKLAND,Alameda,94603,(X) 515 2136,B| C39,CLEAR,01/31/2027,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1132380.0,CESAR ALVARDO-MACIAS,2515 PIONEER AVE SUITE 2,VISTA,San Diego,92081,,C36,CLEAR,01/31/2027,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1133882.0,MAST PLUMBING SERVICES,3670 MOUNTAIN RANCH RD,SAN ANDREAS,Calaveras,95249,,C36,CLEAR,03/31/2027,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1134328.0,FLORES LANDSCAPING,1117 HUTASH STREET,SANTA BARBARA,Santa Barbara,93103,,C27,CLEAR,03/31/2027,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1134877.0,RR CONSTRUCTION,1232 ASHLAND DRIVE,LEMOORE,Kings,93245,,B| C20,CLEAR,03/31/2027,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1135771.0,COCOTIS INFRASTRUCTURE LLC,11 HAWK CANYON PLACE,LAFAYETTE,Contra Costa,94549,,A| B| C10| C13,CLEAR,04/30/2027,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1142191.0,HILLSIDE PLUMBING SERVICES INC,2322 DENAIR AVE,HIGHLAND,San Bernardino,92346,,C36,CLEAR,08/31/2027,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1143095.0,RED WOOD FLOORING SERVICE INC,15574 CHASE ST,NORTH HILLS,Los Angeles,91343,,C15,CLEAR,09/30/2027,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1143110.0,A-Z LANDSCAPING INC,216 W MEADOW LN,KINGSBURG,Fresno,93631,,C27,CLEAR,09/30/2027,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1145315.0,GT ROOTER & HYDROJET,706 ARROW GRAND CIRCLE,COVINA,Los Angeles,91722,,C36,CLEAR,10/31/2027,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1145459.0,TITANIUM PLUMBING LLC,P O BOX 73,GONZALES,Monterey,93926,,C36,CLEAR,10/31/2027,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,335403.0,AQUOS POOLS COM,16321 S. AUSTIN RD,MANTECA,San Joaquin,95336,,C27| C53,CLEAR,03/31/2027,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,378454.0,HUNSAKER ELECTRIC,11596 ORCHID,FOUNTAIN VALLEY,Orange,92708,(X) 720 5759,C10,CLEAR,07/31/2027,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,379245.0,BOSLEY ELECTRIC CONTRACTING COMPANY,935 ARDEN WAY,SACRAMENTO,Sacramento,95815,,B| C10| C36,CLEAR,12/31/2025,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,494856.0,OCEAN AIR & HEATING,1617 AROMAS HEIGHTS LANE,AROMAS,Monterey,95004,,C20| C43,CLEAR,07/31/2026,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,533772.0,MARTEL CONSTRUCTION INC,1203 SOUTH CHURCH,BOZEMAN,,59715,,A| B,CLEAR,03/31/2026,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,534020.0,VETERAN PLUMBING AND AIR,3671 W MCFADDEN AVE,SANTA ANA,Orange,92704,,C20| C36,CLEAR,01/31/2027,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,538928.0,GIBSON ENTERPRISES INC,P O BOX 246,LEMOORE,Kings,93245,,B| C13,CLEAR,02/28/2026,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,546667.0,GRAVES JOHN R,216 S 8TH STREET,EL CENTRO,Imperial,92243,,C10,CLEAR,11/30/2026,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,552616.0,WEST COAST HOME REPAIR,1700 MARTINGALE AVE,LOS OSOS,San Luis Obispo,93402,,B| C33,CLEAR,01/31/2026,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,594761.0,CANZAM ELECTRIC INC,184 A MORRIS LANE,CAMPBELL,Santa Clara,95008,,C10,CLEAR,05/31/2026,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,603873.0,BLACK DIAMOND SERVICE CONTRACTORS INC,P O BOX 231418,ENCINITAS,San Diego,92023,,A| B| C33,CLEAR,05/31/2026,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,641602.0,RAFAEL PAINTING SERVICES INC,10866 WASHINGTON BL #101,CULVER CITY,Los Angeles,90232,,B| C33,CLEAR,06/30/2026,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,697322.0,SYSTEMS MECHANICAL INC,660 MARINA WY SOUTH,RICHMOND,Contra Costa,94804,,C-7| C10| C20,CLEAR,01/31/2027,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,718978.0,COLE SERVICES PLUMBING HEATING AND AIR,10652 TRASK AVENUE,GARDEN GROVE,Orange,92843,,C10| C20| C36,CLEAR,02/28/2026,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,726564.0,PRIME FLOW PLUMBING,7736 GENTRY AVE,NORTH HOLLYWOOD,Los Angeles,91605,,C36,CLEAR,07/31/2026,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,758690.0,KAUFMANN ELECTRIC INC,1710 CALLOWAY CIRCLE,AUBURN,Placer,95603,,C10,CLEAR,03/31/2027,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,772134.0,BAYNE CONSTRUCTION INC,P O BOX 360,AUBURN,Placer,95604,,A| B| C21,CLEAR,12/31/2025,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,784858.0,JRH CONSTRUCTION COMPANY INC,17795 SKY PARK CIRCLE STE J,IRVINE,Orange,92614,,A| B| C-8| C17| D34,CLEAR,09/30/2026,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,789358.0,RPA AND SONS CONSTRUCTION LLC,205 CAMINO SAN CLEMENTE,SAN CLEMENTE,Orange,92672,,B| C10,CLEAR,12/31/2025,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,875099.0,FONTAINE ROOFING,586 N BATAVIA ST,ORANGE,Orange,91868,,B| C39| C43,CLEAR,05/31/2027,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,875177.0,M W D SPECIALISTS,25795 JEFFERSON AVE STE 130,MURRIETA,Riverside,92562,,B| C-6,CLEAR,03/31/2026,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,891635.0,ALL AIRE HEATING A/C & REFRIGERATION,1854 MARIELLE PLACE UNIT 612,CHULA VISTA,San Diego,91913,,C20| C38,CLEAR,07/31/2027,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,913045.0,BECHTEL INFRASTRUCTURE AND POWER CORPORATION,12011 SUNSET HILLS DR #110,RESTON,,20190,,A| B| C10,CLEAR,03/31/2026,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,923488.0,UNITED ELECTRICAL INC,5552 CERRITOS AVENUE SUITE F,CYPRESS,Orange,90630,,C10| C12,CLEAR,10/31/2026,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,929115.0,M D EXTREME BUILDERS,45330 ANDALE AVENUE,LANCASTER,Los Angeles,93535,,B| C36,CLEAR,02/28/2027,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,939661.0,VALLEY GREEN-SCAPES INC,PO BOX 731592,SAN JOSE,Santa Clara,95173,,C27| D49,CLEAR,04/30/2027,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,956086.0,A C R GLASS AND DOORS,8138 CAPWELL DRIVE,OAKLAND,Alameda,94621,,B| C17,CLEAR,11/30/2026,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,963699.0,GX INC,P O BOX 731,CARPINTERIA,Santa Barbara,93014,,A| C12| C21,CLEAR,06/30/2027,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,977249.0,JOHNSON CONTROLS SECURITY SOLUTIONS LLC,PO BOX 3042ATTN LICENSING DEPT,BOCA RATON,,33431,,C-7| C10,CLEAR,09/30/2026,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,977486.0,SUNRISE ENERGY SOLUTIONS INC,P O BOX 3070,GRANITE BAY,Placer,95746,,B| C46,CLEAR,10/31/2026,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,986952.0,GNB CONSTRUCTION & PAINTING INC,3529 W COMMONWEALTH AVE #Y,FULLERTON,Orange,92833,,B| C33,CLEAR,08/31/2026,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,996073.0,DALTON AND SON'S ELECTRIC,3449 CORWIN CT,LOOMIS,Placer,95650,,B| C-6| C10,CLEAR,08/31/2026,
FITCH ELECTRIC INC,(925) 684-8932,fitchelectric.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1067658.0,FITCH ELECTRIC INC,7059 COMMERCE CIR SUITE B,PLEASANTON,Alameda,94588,(925) 684 8932,B| C10,CLEAR,03/31/2026,9256848932
SHANE ELLETT ELECTRIC LLC,(831) 239-6635,seelectric.net,5,BRONZE,0,0,25,0,1,Generac,1,NO,880002.0,SHANE ELLETT ELECTRIC LLC,12788 HIGHWAY 9 STE 2,BOULDER CREEK,Santa Cruz,95006,(831) 239 6635,C10,CLEAR,03/31/2027,8312396635
WILSON ELECTRIC,(669) 300-1333,wilsonelectric.works,5,BRONZE,0,0,25,0,1,Generac,1,NO,1058620.0,WILSON ELECTRIC,14680 BEAR CREEK RD,BOULDER CREEK,Santa Cruz,95006,(669) 300 1333,C10,CLEAR,09/30/2027,6693001333
WOODING ELECTRIC,(408) 748-9663,woodlingelectric.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,680882.0,WOODING ELECTRIC,3390 DE LA CRUZ BLVD SUITE N,SANTA CLARA,Santa Clara,95054,(408) 748 9663,C10,CLEAR,11/30/2027,4087489663
ANTHONY LEWIS INC,(408) 217-8621,anthonylewisinc.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,851107.0,LEWIS ANTHONY INCORPORATED,386 S GENEVIEVE LANE,SAN JOSE,Santa Clara,95128,(408) 217 8621,B| C10,CLEAR,08/31/2027,4082178621
RISSAKHANI,(408) 892-2453,rissakhani.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,886018.0,RISSAKHANI,606 ALTINO BLVD,SAN JOSE,Santa Clara,95136,(408) 892 2453,A| C27,CLEAR,10/31/2026,4088922453
BINGO ELECTRIC,(408) 214-0775,bingoelectric.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1076855.0,BINGO ELECTRIC,17775 NAVAJO TRAIL,LOS GATOS,Santa Clara,95033,(408) 214 0775,C10,CLEAR,06/30/2027,4082140775
"SNELL ELECTRIC, INC.",(925) 820-5268,snellelectric.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,948899.0,SNELL ELECTRIC INC,2415 SAN RAMON VALLEY BLV#4109,SAN RAMON,Contra Costa,96583,(925) 820 5268,C10,CLEAR,06/30/2026,9258205268
"R PRO ELECTRIC, INC.",(510) 876-3522,rproelectric.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1007184.0,R PRO ELECTRIC INC,43639 ELLSWORTH ST,FREMONT,Alameda,94539,(510) 876 3522,C10,CLEAR,07/31/2026,5108763522
FISHER ELECTRIC INC.,(831) 345-7463,fisherelectricinc.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,631964.0,FISHER ELECTRIC INC,35 BUTTERMILK LANE,SCOTTS VALLEY,Santa Cruz,95066,(831) 345 7463,C10| C46,CLEAR,04/30/2026,8313457463
"GREEN STATE ELECTRIC, LLC",(408) 455-8142,greenstateelectric.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,993422.0,GREEN STATE ELECTRIC CO,P O BOX 1998,LOS GATOS,Santa Clara,95031,(408) 455 8142,C10,CLEAR,06/30/2026,4084558142
ROEMKE ELECTRIC INC.,(831) 247-1700,roemkeelectric.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,896861.0,ROEMKE ELECTRIC INC,891 PROSPECT HTS,SANTA CRUZ,Santa Cruz,95065,(831) 247 1700,C10,CLEAR,05/31/2027,8312471700
JGA ELECTRIC,(323) 842-6507,jgaelectric.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1032418.0,JGA ELECTRIC,11647 BLIX STREET #6,NORTH HOLLYWOOD,Los Angeles,91602,(323) 842 6507,C10,CLEAR,08/31/2027,3238426507
RICO'S ELECTRIC INC,(310) 326-8500,ricoselectricinc.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,835387.0,NUWORLD AUTOMATION & LIGHTING,P O BOX 1171,LOMITA,Los Angeles,90717,(310) 326 8500,C10,CLEAR,10/31/2025,3103268500
CROWN ELECTRIC,(626) 255-1206,crown-electrics.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,896124.0,CROWN ELECTRIC,1752 N ALLEN AVENUE,PASADENA,Los Angeles,91104,(626) 255 1206,C10,CLEAR,05/31/2027,6262551206
"LEONE ELECTRIC, INC.",(562) 795-5754,leoneelectric.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,794439.0,LEONE ELECTRIC INC,10841 BLOOMFIELD,LOS ALAMITOS,Orange,90720,(562) 795 5754,C10,CLEAR,04/30/2027,5627955754
ZERO ELECTRIC,(626) 621-0701,zeroelectricinc.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1090189.0,ZERO ELECTRIC,1191 HUNTINGTON DR #144,DUARTE,Los Angeles,91010,(626) 621 0701,C10,CLEAR,04/30/2026,6266210701
"BEC ELECTRIC, INC.",(714) 890-1602,callexcalibur.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,871067.0,SERVICE LION PLUMBING HEATING AIR ELECTRIC,PO BOX 339,BREA,Orange,92822,(714) 890 1602,C10| C20| C36,CLEAR,01/31/2026,7148901602
EAGLE ELECTRIC CONSTRUCTION INC,(818) 343-8402,eagleelectricllc.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,738968.0,EAGLE ELECTRIC CONSTRUCTION INC,18256 CALVERT STREET,TARZANA,Los Angeles,91335,(818) 343 8402,B| C10,CLEAR,12/31/2026,8183438402
ELITE GENERATORS INC,(818) 718-0200,elitegeneratorsinc.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,467587.0,ELITE GENERATORS INC,9800 TOPANGA CYN BLVDSTE D PMB 297,CHATSWORTH,Los Angeles,91311,(818) 718 0200,C10,CLEAR,07/31/2026,8187180200
"A.L.M. ELECTRIC, LLC",(805) 915-7609,almelectriccompany.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1109672.0,A L M ELECTRIC LLC,2061 LYSANDER AVE,SIMI VALLEY,Ventura,93065,(805) 915 7609,C10,CLEAR,09/30/2027,8059157609
MEDITERRANEAN HEATING & AIR INC,(818) 884-1414,medheatair.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,386605.0,MEDITERRANEAN HEATING & AIR CONDITIONING INC,21450 STRATHERN ST,CANOGA PARK,Los Angeles,91304,(818) 884 1414,B| C-2| C10| C20| C36,CLEAR,01/31/2026,8188841414
"SID'S ELECTRIC, INC.",(818) 606-4924,sidselectric.net,5,BRONZE,0,0,25,0,1,Generac,1,NO,959452.0,SID'S ELECTRIC INC,PO BOX 8240,NORTHRIDGE,Los Angeles,91327,(818) 606 4924,C10,CLEAR,05/31/2027,8186064924
PACIFICSKY SOLAR LLC,(818) 223-8344,pacificskysolar.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1004379.0,PACIFICSKY SOLAR LLC,20640 BAHAMA ST UNIT B,CHATSWORTH,Los Angeles,91311,(818) 223 8344,C10| C46,CLEAR,06/30/2027,8182238344
PEAK POWER ELECTRIC INC.,(310) 457-9348,peakpowerelectric.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,365831.0,PEAK POWER ELECTRIC INC,30765 PACIFIC COAST HWYSTE 365,MALIBU,Los Angeles,90265,(310) 457 9348,C10,CLEAR,07/31/2027,3104579348
CALIBAY CONSTRUCTION INC,(818) 984-6835,calibayconstruction.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1083116.0,CALIBAY ELECTRIC AND SECURITY INC,6320 TOPANGA CYN BLVDSTE 1630-751,WOODLAND HILLS,Los Angeles,91367,(818) 984 6835,C-7| C10,CLEAR,10/31/2027,8189846835
THE ELECTRIC TOUCH INC,(818) 509-0000,theelectrictouchco.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,469771.0,ELECTRIC TOUCH CO THE,425 DENA DRIVE,NEWBURY PARK,Ventura,91320,(818) 509 0000,C-7| C10,CLEAR,02/28/2027,8185090000
TOTALLY WIRED ELECTRIC,(818) 889-1229,totallywiredelectric.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,558076.0,TOTALLY WIRED ELECTRIC,31360 VIA COLINAS SUITE 105,WESTLAKE VILLAGE,Ventura,91362,(818) 889 1229,C10,CLEAR,02/28/2027,8188891229
"POWER FUSION, INC",(818) 213-9067,powerfusioninc.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1023352.0,POWER FUSION INC,2828 COCHRAN STREET #310,SIMI VALLEY,Ventura,93065,(818) 213 9067,C10| C20,CLEAR,05/31/2027,8182139067
RR ELECTRIC HEATING & AIR,(805) 522-1268,rrelectrichvac.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,714651.0,R R ELECTRIC HEATING & AIR,331 SCIENCE DR,MOORPARK,Ventura,93021,(805) 522 1268,C10| C20| C36,CLEAR,11/30/2026,8055221268
"THOR ELECTRIC, INC.",(805) 813-1472,thor-electric.net,5,BRONZE,0,0,25,0,1,Generac,1,NO,979351.0,THOR ELECTRIC INC,3337 CORPUS CHRISTI STREET,SIMI VALLEY,Ventura,93063,(805) 813 1472,C10,CLEAR,05/31/2027,8058131472
"C1 ELECTRIC, INC.",(805) 732-3374,c1electric.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1060947.0,C1 ELECTRIC INC,52 CALLE LA SOMBRA,CAMARILLO,Ventura,93010,(805) 732 3374,C10,CLEAR,10/31/2026,8057323374
MULICK CONSTRUCTION AND DESIGN INC,(818) 889-0440,mulickconstruction.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,372231.0,MULICK CONSTRUCTION AND DESIGN INC,1476 DORSET AVENUE,THOUSAND OAKS,Ventura,91360,(818) 889 0440,B| C10,CLEAR,06/30/2027,8188890440
"BRIGHT BULBS ELECTRIC CO, INC.",(909) 912-5000,brightbulbselectric.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1004286.0,BRIGHT BULBS ELECTRIC CO INC,164 EXCELSIOR WY,UPLAND,San Bernardino,91786,(909) 912 5000,B| C10,CLEAR,06/30/2027,9099125000
DAVE WILLIAMS PLUMB & ELECTRIC INC.,(760) 296-1397,dwpeinc.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,924755.0,DAVE WILLIAMS PLUMBING & ELECTRICAL INC,75-140 ST CHARLES PLACE STE C,PALM DESERT,Riverside,92211,(760) 296 1397,C10| C16| C36,CLEAR,11/30/2026,7602961397
THE WATCHLIGHT CORPORATION,(619) 442-9595,watchlight.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,594919.0,WATCHLIGHT CORPORATION THE,111 S MARSHALL AVE,EL CAJON,San Diego,92020,(619) 442 9595,C-7| C10,CLEAR,05/31/2026,6194429595
BRI ELECTRIC,(760) 485-6464,bri-electric.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,593845.0,BRI ELECTRIC,4653 CARMEL MOUNTAIN RDSTE 308 - 502,SAN DIEGO,San Diego,92130,(760) 485 6464,C10,CLEAR,03/31/2027,7604856464
CREST UTILITIES INC,(619) 445-0500,crestelectricinc.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,873818.0,CREST ELECTRIC,P O BOX 692,ALPINE,San Diego,91903,(619) 445 0500,C10,CLEAR,03/31/2026,6194450500
O'COYNE ELECTRIC INC.,(619) 992-1632,ocoyneelectric.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1009321.0,O'COYNE ELECTRIC INC,1820 JOE CROSSON DR STE A,EL CAJON,San Diego,92020,(619) 992 1632,C10,Work Comp Susp,12/31/2025,6199921632
